Molecule Name,CDD Number,CXSMILES (CDD Compatible),SMILES,Batch Name,Batch Molecule-Batch ID,Canonical PostEra ID,suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0015992,"",O=C(CC1=CC(Cl)=CC(NCC2=CC=C(OC(F)(F)F)C=C2)=C1)NC1=CN=CC2=CC=CC=C12,FC(F)(F)OC1=CC=C(CNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,CVD-0015992-001,PCM-0222036,"FC(F)(F)OC1=CC=C(CNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1 |c:20,24,29,32,35,t:5,7,11,18,22,26|",5.52,4.68,6.51,1.05,2.1
CVD-0015991,"",CC(C)C1=NC(CN(C)C2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=CS1,CC(C)C1=NC(CN(C)C2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=CS1,001,CVD-0015991-001,PCM-0222037,"CC(C)C1=NC(CN(C)C2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=CS1 |c:18,22,27,30,32,t:3,9,16,20,24|",2.63,2.34,2.95,1.06,2.1
CVD-0015990,"",O=C(CC1=CC(Cl)=CC(N2C(C3CCNCC3)=NC3=C2C=CC=C3)=C1)NC1=CN=CC2=CC=CC=C12,ClC1=CC(N2C(C3CCNCC3)=NC3=C2C=CC=C3)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,CVD-0015990-001,PCM-0222038,"ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N1C(=NC2=C1C=CC=C2)C1CCNCC1 |c:3,12,16,21,25,27,30,32,t:1,10,14,18|",2.24,1.98,2.52,1.06,2.1
CVD-0015989,"",CC(=O)NC1=CC(C(F)(F)F)=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,CC(=O)NC1=CC(C(F)(F)F)=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,CVD-0015989-001,PCM-0222039,"CC(=O)NC1=CC(=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1)C(F)(F)F |c:18,22,27,30,33,t:4,6,9,16,20,24|",2.09,1.90,2.30,1.04,2.1
CVD-0015988,"",O=C(CC1=CC(Cl)=CC(NC2=C(OCC(F)(F)F)C=CC=C2)=C1)NC1=CN=CC2=CC=CC=C12,FC(F)(F)COC1=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=CC=C1,001,CVD-0015988-001,PCM-0222040,"FC(F)(F)COC1=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=CC=C1 |c:6,18,22,27,30,33,35,t:9,16,20,24|",1.96,1.78,2.16,1.11,2.1
CVD-0015987,"",O=C(CC1=CC(NCC2=CC(Cl)=CC(Cl)=C2)=CC(Cl)=C1)NC1=CN=CC2=CC=CC=C12,ClC1=CC(CNC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=CC(Cl)=C1,001,CVD-0015987-001,PCM-0222041,"ClC1=CC(CNC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=CC(Cl)=C1 |c:9,18,22,27,29,32,t:1,6,16,20,24|",1.72,1.54,1.93,1.08,2.1
CVD-0015986,"",O=C(CC1=CC(Cl)=CC(NC2=CC=C(N3C=CC=N3)C=C2)=C1)NC1=CN=CC2=CC=CC=C12,ClC1=CC(NC2=CC=C(N3C=CC=N3)C=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,CVD-0015986-001,PCM-0222042,"ClC1=CC(NC2=CC=C(C=C2)N2C=CC=N2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1 |c:7,9,13,15,17,26,30,35,t:1,5,24,28,32|",2.12,1.88,2.39,1.11,2.1
CVD-0015985,"",O=C(CC1=CC(Cl)=CC(NC2=CC=C(N3C=CN=C3)C=C2)=C1)NC1=CN=CC2=CC=CC=C12,ClC1=CC(NC2=CC=C(N3C=CN=C3)C=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,CVD-0015985-001,PCM-0222043,"ClC1=CC(NC2=CC=C(C=C2)N2C=CN=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1 |c:7,9,13,15,17,26,30,35,t:1,5,24,28,32|",2.46,2.28,2.65,1.08,2.1
CVD-0015984,"",O=C(CC1=CC(Cl)=CC(NC2=CC(OC(F)(F)F)=CC=C2)=C1)NC1=CN=CC2=CC=CC=C12,FC(F)(F)OC1=CC=CC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C1,001,CVD-0015984-001,PCM-0222044,"FC(F)(F)OC1=CC=CC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C1 |c:7,20,24,29,32,34,t:5,11,18,22,26|",1.93,1.56,2.40,1.06,2.1
CVD-0015983,"",O=C(CC1=CC(Cl)=CC(NC2=NC3=C(C=CC(Cl)=C3)S2)=C1)NC1=CN=CC2=CC=CC=C12,ClC1=CC2=C(SC(NC3=CC(CC(=O)NC4=CN=CC5=CC=CC=C45)=CC(Cl)=C3)=N2)C=C1,001,CVD-0015983-001,PCM-0222045,"ClC1=CC2=C(SC(NC3=CC(CC(=O)NC4=CN=CC5=CC=CC=C45)=CC(Cl)=C3)=N2)C=C1 |c:17,21,26,29,31,34,t:1,3,8,15,19,23|",2.04,1.75,2.37,1.02,2.1
