Molecule Name,CDD Number,CXSMILES (CDD Compatible),SMILES,Batch Name,Batch Molecule-Batch ID,Canonical PostEra ID,suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0018299,"",O=C1NCC(C(=O)NC2=CN=CC3=CC(F)=CC=C23)C2=CC(Cl)=CC=C12,Fc1ccc2c(NC(=O)C3CNC(=O)c4ccc(Cl)cc43)cncc2c1,001,CVD-0018299-001,ALP-POS-6f6ae286-1,O=C1NCC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc21,1.15,0.945,1.39,0.905,1.1
CVD-0018298,"",O=C(/C=C/C1=CC=CC=C1)N1CCN(S(=O)(=O)C2=CC=CS2)CC1,O=C(/C=C/c1ccccc1)N1CCN(S(=O)(=O)c2cccs2)CC1,001,CVD-0018298-001,BEN-DND-03ad4429-8,O=C(/C=C/c1ccccc1)N1CCN(S(=O)(=O)c2cccs2)CC1,(IC50 could not be calculated),"","","",""
CVD-0018297,"",O=C1CCCN(S(=O)(=O)C2=CC=CS2)CC1,O=C1CCCN(S(=O)(=O)c2cccs2)CC1,001,CVD-0018297-001,BEN-DND-03ad4429-6,O=C1CCCN(S(=O)(=O)c2cccs2)CC1,> 99.5,"","",0.326,2.3
CVD-0018296,CDD-1203208,O=C1CCN(S(=O)(=O)C2=CC=CS2)CC1,O=C1CCN(S(=O)(=O)c2cccs2)CC1,001,CVD-0018296-001,BEN-DND-03ad4429-5,O=C1CCN(S(=O)(=O)c2cccs2)CC1,> 99.5,"","",0.522,4
CVD-0018295,"",O=C(/C=C/C1=CC=CC=C1)N1CCN(S(=O)(=O)C2=CC(F)=CC=C2)CC1,Fc1cccc(S(=O)(=O)N2CCN(C(=O)/C=C/c3ccccc3)CC2)c1,001,CVD-0018295-001,BEN-DND-03ad4429-4,O=C(/C=C/c1ccccc1)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,> 99.5,"","","",""
CVD-0018294,"",O=C1CCCN(S(=O)(=O)C2=CC(F)=CC=C2)CC1,Fc1cccc(S(=O)(=O)N2CCCC(=O)CC2)c1,001,CVD-0018294-001,BEN-DND-03ad4429-2,O=C1CCCN(S(=O)(=O)c2cccc(F)c2)CC1,> 99.5,"","",0.276,4
CVD-0018293,"",O=C1CCN(S(=O)(=O)C2=CC(F)=CC=C2)CC1,Fc1cccc(S(=O)(=O)N2CCC(=O)CC2)c1,001,CVD-0018293-001,BEN-DND-03ad4429-1,O=C1CCN(S(=O)(=O)c2cccc(F)c2)CC1,> 99.5,"","",0.171,4
CVD-0018291,"",CN(C)C(=O)C1=CC2=C(NC(=O)C3CCOC4=CC=C(Cl)C=C43)C=NC=C2S1,CN(C)C(=O)c1cc2c(NC(=O)C3CCOc4ccc(Cl)cc43)cncc2s1,001,CVD-0018291-001,MAT-POS-ee5e8e94-2,CN(C)C(=O)c1cc2c(NC(=O)C3CCOc4ccc(Cl)cc43)cncc2s1,0.399,0.371,0.429,1.14,1.1
CVD-0018257,"",CC1=CN2C(NC(=O)CC3=CC=CC(Cl)=C3)=CN=C2C=C1,Cc1ccc2ncc(NC(=O)Cc3cccc(Cl)c3)n2c1,001,CVD-0018257-001,EDJ-MED-b24713dc-3,Cc1ccc2ncc(NC(=O)Cc3cccc(Cl)c3)n2c1,9.01,8.60,9.44,1.12,1.1
CVD-0018256,"",CC1=CC=CC2=NC=C(NC(=O)CC3=CC=CC(Cl)=C3)N12,Cc1cccc2ncc(NC(=O)Cc3cccc(Cl)c3)n12,001,CVD-0018256-001,EDJ-MED-b24713dc-2,Cc1cccc2ncc(NC(=O)Cc3cccc(Cl)c3)n12,5.54,4.96,6.18,1.13,1.1
CVD-0018255,"",CC1=CC2=NC=C(NC(=O)CC3=CC=CC(Cl)=C3)N2C=C1,Cc1ccn2c(NC(=O)Cc3cccc(Cl)c3)cnc2c1,001,CVD-0018255-001,EDJ-MED-b24713dc-1,Cc1ccn2c(NC(=O)Cc3cccc(Cl)c3)cnc2c1,19.6,17.8,21.5,0.969,2.1
CVD-0018253,"",CC1=CC=CN2N=CC(NC(=O)C3CNC(=O)C4=CC=C(Cl)C=C43)=C12,Cc1cccn2ncc(NC(=O)C3CNC(=O)c4ccc(Cl)cc43)c12,001,CVD-0018253-001,EDJ-MED-dd2a8363-4,Cc1cccn2ncc(NC(=O)C3CNC(=O)c4ccc(Cl)cc43)c12,2.40,2.15,2.68,1.13,1.1
CVD-0018252,"",O=C1NCC(C(=O)NC2=C3CCCCN3N=C2)C2=CC(Cl)=CC=C12,Clc1ccc2c(c1)C(C(=O)Nc1cnn3c1CCCC3)CNC2=O,001,CVD-0018252-001,EDJ-MED-dd2a8363-3,O=C1NCC(C(=O)Nc2cnn3c2CCCC3)c2cc(Cl)ccc21,30.5,26.4,35.3,1.20,2.1
CVD-0018251,"",O=C(NC1=C2C=CC=CN2N=C1)C1CCS(=O)(=O)C2=CC=C(Cl)C=C21,Clc1ccc2c(c1)C(C(=O)Nc1cnn3ccccc13)CCS2(=O)=O,001,CVD-0018251-001,EDJ-MED-dd2a8363-2,O=C(Nc1cnn2ccccc12)C1CCS(=O)(=O)c2ccc(Cl)cc21,3.89,3.24,4.68,0.987,1.1
CVD-0018250,"",O=C1NCC(C(=O)NC2=C3C=CC=CN3N=C2)C2=CC(Cl)=CC=C12,Clc1ccc2c(c1)C(C(=O)Nc1cnn3ccccc13)CNC2=O,001,CVD-0018250-001,EDJ-MED-dd2a8363-1,O=C1NCC(C(=O)Nc2cnn3ccccc23)c2cc(Cl)ccc21,7.09,6.25,8.04,1.15,1.1
CVD-0018249,"",CCC1(C(=O)NC2=CN=CC3=CC=CC=C23)CNS(=O)(=O)C2=CC=C(Cl)C=C21,CCC1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,001,CVD-0018249-001,ALP-POS-1cbc2fae-2,CCC1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,0.0993,0.0796,0.124,1.00,1.1
CVD-0018249,"",CCC1(C(=O)NC2=CN=CC3=CC=CC=C23)CNS(=O)(=O)C2=CC=C(Cl)C=C21,CCC1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,001,CVD-0018249-001,ALP-POS-1cbc2fae-2,CCC1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,0.0760,0.0697,0.0828,1.07,2.1
CVD-0018248,"",CC1(C(=O)NC2=CN=CC3=CC=CC=C23)CNS(=O)(=O)C2=CC=C(Cl)C=C21,CC1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,001,CVD-0018248-001,ALP-POS-1cbc2fae-1,CC1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,0.263,0.236,0.292,0.980,1.1
CVD-0018240,"",O=C1N(C2=CN=CC3=CC=CC=C23)CC[C@]1(O)C1=CC=CC(Cl)=C1,O[C@]1(c2cccc(Cl)c2)CCN(c2cncc3ccccc23)C1=O,001,CVD-0018240-001,MAT-POS-8695a11f-3,O=C1N(c2cncc3ccccc23)CC[C@]1(O)c1cccc(Cl)c1,0.738,0.619,0.878,1.29,1.1
CVD-0018239,"",O=C(NC1=CN=CC2=CC=C(CN3CCNCC3)C=C12)C1CCOC2=CC=C(Cl)C=C21,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccc(CN4CCNCC4)cc13)CCO2,001,CVD-0018239-001,MAT-POS-8695a11f-2,O=C(Nc1cncc2ccc(CN3CCNCC3)cc12)C1CCOc2ccc(Cl)cc21,0.756,0.662,0.864,1.18,1.1
CVD-0018238,"",O=C1N(C2=CN=CC3=CC=CC=C23)CC[C@@]1(O)C1=CC=CC(Cl)=C1,O[C@@]1(c2cccc(Cl)c2)CCN(c2cncc3ccccc23)C1=O,001,CVD-0018238-001,MAT-POS-8695a11f-1,O=C1N(c2cncc3ccccc23)CC[C@@]1(O)c1cccc(Cl)c1,90.7,73.2,112,1.35,2.1
CVD-0018217,"",CS(=O)(=O)NC1=CC=C2C=NC=C(NC(=O)C3CCS(=O)(=O)C4=CC=C(Cl)C=C43)C2=C1,CS(=O)(=O)Nc1ccc2cncc(NC(=O)C3CCS(=O)(=O)c4ccc(Cl)cc43)c2c1,001,CVD-0018217-001,EDJ-MED-d9f3798e-3,CS(=O)(=O)Nc1ccc2cncc(NC(=O)C3CCS(=O)(=O)c4ccc(Cl)cc43)c2c1,0.204,0.177,0.236,1.33,1.1
CVD-0018215,"",CS(=O)(=O)NC1=CC=C2C=NC=C(NC(=O)C3CNC(=O)C4=CC=C(Cl)C=C43)C2=C1,CS(=O)(=O)Nc1ccc2cncc(NC(=O)C3CNC(=O)c4ccc(Cl)cc43)c2c1,001,CVD-0018215-001,EDJ-MED-d9f3798e-1,CS(=O)(=O)Nc1ccc2cncc(NC(=O)C3CNC(=O)c4ccc(Cl)cc43)c2c1,0.195,0.180,0.211,0.985,2.1
CVD-0018209,"",O=C(NC1=CN=CC2=CC=CC=C12)C1CN(CC2CC2)C(=O)C2=CC=C(Cl)C=C21,Clc1ccc2c(c1)C(C(=O)Nc1cncc3ccccc13)CN(CC1CC1)C2=O,001,CVD-0018209-001,EDJ-MED-eb111c00-3,O=C(Nc1cncc2ccccc12)C1CN(CC2CC2)C(=O)c2ccc(Cl)cc21,0.381,0.352,0.412,1.17,1.1
CVD-0018208,"",COCCN1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O,COCCN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,001,CVD-0018208-001,EDJ-MED-eb111c00-2,COCCN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,0.267,0.249,0.287,0.984,2.1
CVD-0018193,"",CN(C)C1=CC=C2C=NC=C(NC(=O)CC3=CC=CC(Cl)=C3)C2=C1,CN(C)c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,001,CVD-0018193-001,PET-UNK-d899bab6-1,CN(C)c1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,0.729,0.679,0.783,1.24,1.1
CVD-0018189,"",CC1=C(NC(=O)C2CCOC3=C2C=C(Cl)C=C3)C=NC(N)=C1,CC1=C(NC(=O)C2CCOC3=C2C=C(Cl)C=C3)C=NC(N)=C1,001,CVD-0018189-001,MAT-POS-1f3c8e6f-1,Cc1cc(N)ncc1NC(=O)C1CCOc2ccc(Cl)cc21,> 99.5,"","",1.88,2.3
CVD-0018187,"",CC(NC(=O)C1=CC=C2OC(=S)NC2=C1)C1=NN=C2C=CC=CN12,CC(NC(=O)c1ccc2oc(=S)[nH]c2c1)c1nnc2ccccn12,001,CVD-0018187-001,WIL-UNI-d4749f31-45,CC(NC(=O)c1ccc2oc(S)nc2c1)c1nnc2ccccn12,> 99.5,"","",6.77,3
CVD-0018185,"",CC1=NN(C)C2=NC(Cl)=CC(NNC(=O)C3=CC=NC4=C3N=NN4)=C12,Cc1nn(C)c2nc(Cl)cc(NNC(=O)c3ccnc4[nH]nnc34)c12,001,CVD-0018185-001,WIL-UNI-d4749f31-43,Cc1nn(C)c2nc(Cl)cc(NNC(=O)c3ccnc4nn[nH]c34)c12,> 99.5,"","",-0.0845,4
CVD-0018184,"",CC1=NC2=CC(C(=O)NNC3=NC4=CC=NC=C4S3)=CC=C2O1,Cc1nc2cc(C(=O)NNc3nc4ccncc4s3)ccc2o1,001,CVD-0018184-001,WIL-UNI-d4749f31-42,Cc1nc2cc(C(=O)NNc3nc4ccncc4s3)ccc2o1,> 99.5,"","",1.81,4
CVD-0018183,"",CC(CNC(=O)C1=CN=C2C=CC=CN12)NC1=NC2=CC=CC=C2O1,CC(CNC(=O)c1cnc2ccccn12)Nc1nc2ccccc2o1,001,CVD-0018183-001,WIL-UNI-d4749f31-41,CC(CNC(=O)c1cnc2ccccn12)Nc1nc2ccccc2o1,> 99.5,"","",-8.25,4
CVD-0018182,"",CC1=NN2C(CNC3=CC=C(CN4C=NC=N4)C=C3)=C(C)N=C2S1,Cc1nn2c(CNc3ccc(Cn4cncn4)cc3)c(C)nc2s1,001,CVD-0018182-001,WIL-UNI-d4749f31-40,Cc1nn2c(CNc3ccc(Cn4cncn4)cc3)c(C)nc2s1,> 99.5,"","","",""
CVD-0018181,"",CN1C(NC(=O)C2=CC=CN=C2N2C=CC=N2)=NC2=CC(F)=CC=C21,Cn1c(NC(=O)c2cccnc2-n2cccn2)nc2cc(F)ccc12,001,CVD-0018181-001,WIL-UNI-d4749f31-39,Cn1c(NC(=O)c2cccnc2-n2cccn2)nc2cc(F)ccc21,> 99.5,"","",0.488,3
CVD-0018180,"",O=C(NC1=CC=CC2=C1NC=C2)C1=CC=CC2=C1OC(=O)N2,O=C(Nc1cccc2cc[nH]c12)c1cccc2[nH]c(=O)oc12,001,CVD-0018180-001,WIL-UNI-d4749f31-38,O=C(Nc1cccc2cc[nH]c12)c1cccc2[nH]c(=O)oc12,> 99.5,"","",-1.37,4
CVD-0018179,"",O=C(NNC1=NC2=CC=CC=C2N1)C1=C2C=CC=CC2=NC(O)=C1,Oc1cc(C(=O)NNc2nc3ccccc3[nH]2)c2ccccc2n1,001,CVD-0018179-001,WIL-UNI-d4749f31-37,O=C(NNc1nc2ccccc2[nH]1)c1cc(O)nc2ccccc12,25.8,24.3,27.4,1.12,2.1
CVD-0018178,"",CC1=CSC2=NC=C(C(=O)NC3=CC=CC4=NC=CC=C34)C(=O)N12,Cc1csc2ncc(C(=O)Nc3cccc4ncccc34)c(=O)n12,001,CVD-0018178-001,WIL-UNI-d4749f31-36,Cc1csc2ncc(C(=O)Nc3cccc4ncccc34)c(=O)n12,> 99.5,"","",1.50,2.3
CVD-0018177,"",CC(CC1=NC2=CC=CC=C2S1)NC1=NN2N=NN=C2C=C1,CC(Cc1nc2ccccc2s1)Nc1ccc2nnnn2n1,001,CVD-0018177-001,WIL-UNI-d4749f31-35,CC(Cc1nc2ccccc2s1)Nc1ccc2nnnn2n1,> 99.5,"","",-0.912,4
CVD-0018176,"",CN(CC1=NC2=CC=CC=C2S1)C(=O)C1=CC=C2C(=C1)N=NN2C,CN(Cc1nc2ccccc2s1)C(=O)c1ccc2n(C)nnc2c1,001,CVD-0018176-001,WIL-UNI-d4749f31-34,CN(Cc1nc2ccccc2s1)C(=O)c1ccc2c(c1)nnn2C,> 99.5,"","",-4.49,4
CVD-0018175,"",CC1=C(CN(C)C(=O)C2=CN3C=CC=CC3=N2)N2C=CSC2=N1,CN(Cc1c(C)nc2sccn12)C(=O)c1cn2ccccc2n1,001,CVD-0018175-001,WIL-UNI-d4749f31-33,Cc1nc2sccn2c1CN(C)C(=O)c1cn2ccccc2n1,> 99.5,"","",1.57,4
CVD-0018174,"",C1=CC2=NC=CN2C(CN2CCCC(C3=NN=C4C=CC=CN34)C2)=C1,C(N1CCCC(c2nnc3ccccn23)C1)c1cccc2nccn12,001,CVD-0018174-001,WIL-UNI-d4749f31-32,c1cc(CN2CCCC(c3nnc4ccccn34)C2)n2ccnc2c1,(IC50 could not be calculated),"","","",""
CVD-0018173,"",CC(NC(=O)C1=CN=C2SC=CN2C1=O)C1=NC2=CC=CC=C2N1C,CC(NC(=O)c1cnc2sccn2c1=O)c1nc2ccccc2n1C,001,CVD-0018173-001,WIL-UNI-d4749f31-31,CC(NC(=O)c1cnc2sccn2c1=O)c1nc2ccccc2n1C,(IC50 could not be calculated),"","","",""
CVD-0018172,"",CC1=NOC2=NC=C(CNC3=CC=C(C4=NN=NN4C)C=C3)C=C12,Cc1noc2ncc(CNc3ccc(-c4nnnn4C)cc3)cc12,001,CVD-0018172-001,WIL-UNI-d4749f31-30,Cc1noc2ncc(CNc3ccc(-c4nnnn4C)cc3)cc12,> 99.5,"","",0.380,4
CVD-0018171,"",CC(NC(=O)C1=NC=CC2=CC=CN=C12)C1=CC=C2NC(=O)OC2=C1,CC(NC(=O)c1nccc2cccnc12)c1ccc2[nH]c(=O)oc2c1,001,CVD-0018171-001,WIL-UNI-d4749f31-29,CC(NC(=O)c1nccc2cccnc12)c1ccc2[nH]c(=O)oc2c1,> 99.5,"","",0.255,4
CVD-0018170,"",CC(NC(=O)C1=C(Cl)N=C2C=CC=CN12)C1=NN=C2C=CC=CN12,CC(NC(=O)c1c(Cl)nc2ccccn12)c1nnc2ccccn12,001,CVD-0018170-001,WIL-UNI-d4749f31-28,CC(NC(=O)c1c(Cl)nc2ccccn12)c1nnc2ccccn12,> 99.5,"","",-0.465,4
CVD-0018169,"",CN1C(=O)OC2=CC(S(=O)(=O)NC3=CC=C4N=CC=CC4=C3)=CC=C21,Cn1c2ccc(S(=O)(=O)Nc3ccc4ncccc4c3)cc2oc1=O,001,CVD-0018169-001,WIL-UNI-d4749f31-27,Cn1c(=O)oc2cc(S(=O)(=O)Nc3ccc4ncccc4c3)ccc21,> 99.5,"","","",""
CVD-0018168,"",CN1C=NN=C1C1=CC=CC(NS(=O)(=O)C2=C(Cl)N=C3SC=CN23)=C1,Cn1cnnc1-c1cccc(NS(=O)(=O)c2c(Cl)nc3sccn23)c1,001,CVD-0018168-001,WIL-UNI-d4749f31-26,Cn1cnnc1-c1cccc(NS(=O)(=O)c2c(Cl)nc3sccn23)c1,> 99.5,"","","",""
CVD-0018167,"",C1=CC=C2OC(C3CCCN(CC4=CN=C5C=NC=CN45)C3)=NC2=C1,C(N1CCCC(c2nc3ccccc3o2)C1)c1cnc2cnccn12,001,CVD-0018167-001,WIL-UNI-d4749f31-25,c1ccc2oc(C3CCCN(Cc4cnc5cnccn45)C3)nc2c1,> 99.5,"","","",""
CVD-0018166,"",CC1=CC=C(C(=O)NC2=C(C3=CN(C)N=C3)N=C3C=CC=CN23)C=N1,Cc1ccc(C(=O)Nc2c(-c3cnn(C)c3)nc3ccccn23)cn1,001,CVD-0018166-001,WIL-UNI-d4749f31-24,Cc1ccc(C(=O)Nc2c(-c3cnn(C)c3)nc3ccccn23)cn1,> 99.5,"","",0.215,4
CVD-0018164,"",O=C(NC1=CN2C=CN=C2N=C1)C1=CN2C(Br)=CN=C2S1,Brc1cnc2sc(C(=O)Nc3cnc4nccn4c3)cn12,001,CVD-0018164-001,WIL-UNI-d4749f31-22,O=C(Nc1cnc2nccn2c1)c1cn2c(Br)cnc2s1,> 99.5,"","",1.43,4
CVD-0018162,"",CC1=C2C(NC(C)C3=CC=C4NC(=O)NC4=C3)=NC=NC2=CC=C1,CC(Nc1ncnc2cccc(C)c12)c1ccc2[nH]c(=O)[nH]c2c1,001,CVD-0018162-001,WIL-UNI-d4749f31-20,Cc1cccc2ncnc(NC(C)c3ccc4[nH]c(=O)[nH]c4c3)c12,> 99.5,"","",0.841,4
CVD-0018161,"",CC1=NC2=CC=C(NC(=O)C3=C4N=C(C)C=CN4N=C3)C=C2C(O)=C1,Cc1ccn2ncc(C(=O)Nc3ccc4nc(C)cc(O)c4c3)c2n1,001,CVD-0018161-001,WIL-UNI-d4749f31-19,Cc1cc(O)c2cc(NC(=O)c3cnn4ccc(C)nc34)ccc2n1,> 99.5,"","",0.381,2.3
CVD-0018160,"",O=C(N/N=C1\C=CNC2=CC=CC=C12)C1=CC=C2N=CC=CC2=C1,O=C(N/N=c1\cc[nH]c2ccccc12)c1ccc2ncccc2c1,001,CVD-0018160-001,WIL-UNI-d4749f31-18,O=C(NNc1ccnc2ccccc12)c1ccc2ncccc2c1,> 99.5,"","",0.283,2.3
CVD-0018159,"",CN1C(NC(=O)CC2=CSC3=NC=CN23)=NC2=CC=C(F)C=C21,Cn1c(NC(=O)Cc2csc3nccn23)nc2ccc(F)cc12,001,CVD-0018159-001,WIL-UNI-d4749f31-17,Cn1c(NC(=O)Cc2csc3nccn23)nc2ccc(F)cc21,> 99.5,"","","",""
CVD-0018158,"",CN1C=CN2C(CNC(=O)C3=CC=C4N=CSC4=C3)=NN=C2C1=O,Cn1ccn2c(CNC(=O)c3ccc4ncsc4c3)nnc2c1=O,001,CVD-0018158-001,WIL-UNI-d4749f31-16,Cn1ccn2c(CNC(=O)c3ccc4ncsc4c3)nnc2c1=O,> 99.5,"","","",""
CVD-0018157,"",CC1=CC(C(=O)NC2=CN3C=CN=C3N=C2)=NN1C1=CC=C(F)C=C1,Cc1cc(C(=O)Nc2cnc3nccn3c2)nn1-c1ccc(F)cc1,001,CVD-0018157-001,WIL-UNI-d4749f31-15,Cc1cc(C(=O)Nc2cnc3nccn3c2)nn1-c1ccc(F)cc1,> 99.5,"","","",""
CVD-0018156,"",O=C(NNC1=C2C=CC=NC2=NC(O)=C1)C1=CC=C2NC=CC2=C1,Oc1cc(NNC(=O)c2ccc3[nH]ccc3c2)c2cccnc2n1,001,CVD-0018156-001,WIL-UNI-d4749f31-14,O=C(NNc1cc(O)nc2ncccc12)c1ccc2[nH]ccc2c1,> 99.5,"","",0.915,2.1
CVD-0018154,"",CC1=CC=C(Br)N=C1C(=O)NC(C)C1=NN=C2C(=O)NC=CN12,CC(NC(=O)c1nc(Br)ccc1C)c1nnc2n1cc[nH]c2=O,001,CVD-0018154-001,WIL-UNI-d4749f31-12,Cc1ccc(Br)nc1C(=O)NC(C)c1nnc2c(=O)[nH]ccn12,> 99.5,"","","",""
CVD-0018153,"",N#CCC1=NC(NC(=O)C2=C3N=CC(Br)=CN3N=C2)=CC=C1,Brc1cnc2c(C(=O)Nc3cccc(CC#N)n3)cnn2c1,001,CVD-0018153-001,WIL-UNI-d4749f31-11,N#CCc1cccc(NC(=O)c2cnn3cc(Br)cnc23)n1,> 99.5,"","",-0.891,4
CVD-0018152,"",CC1=CN2C(CNC(=O)C3=C4C=CC=CN4N=C3)=C(C)N=C2S1,Cc1cn2c(CNC(=O)c3cnn4ccccc34)c(C)nc2s1,001,CVD-0018152-001,WIL-UNI-d4749f31-10,Cc1cn2c(CNC(=O)c3cnn4ccccc34)c(C)nc2s1,> 99.5,"","",0.773,4
CVD-0018151,"",O=C(NC1=NN2C=NN=C2S1)C1=CSC(C2=CC=CC=C2)=N1,O=C(Nc1nn2cnnc2s1)c1csc(-c2ccccc2)n1,001,CVD-0018151-001,WIL-UNI-d4749f31-9,O=C(Nc1nn2cnnc2s1)c1csc(-c2ccccc2)n1,> 99.5,"","","",""
CVD-0018150,"",CC1=NC2=NC=NN2C(N2CCC(C)N(CC3=CC=CC=C3)CC2)=C1,CC1CCN(c2cc(C)nc3ncnn23)CCN1Cc1ccccc1,001,CVD-0018150-001,WIL-UNI-d4749f31-8,Cc1cc(N2CCC(C)N(Cc3ccccc3)CC2)n2ncnc2n1,> 99.5,"","",-1.23,4
CVD-0018149,"",CN(CC1=NN=C2C=CC=CN12)C(=O)C1=CC=NC2=CC=CC=C12,CN(Cc1nnc2ccccn12)C(=O)c1ccnc2ccccc12,001,CVD-0018149-001,WIL-UNI-d4749f31-7,CN(Cc1nnc2ccccn12)C(=O)c1ccnc2ccccc12,> 99.5,"","","",""
CVD-0018147,"",CC1=NN=C(CNC2=NN3C(C4=CC=CC=C4)=NN=C3C=C2)O1,Cc1nnc(CNc2ccc3nnc(-c4ccccc4)n3n2)o1,001,CVD-0018147-001,WIL-UNI-d4749f31-5,Cc1nnc(CNc2ccc3nnc(-c4ccccc4)n3n2)o1,> 99.5,"","","",""
CVD-0018146,"",O=C(CC1=CNC2=CC(Cl)=CC=C12)NC1=CC=CC2=C1NC(=O)N2,Clc1ccc2c(CC(=O)Nc3cccc4[nH]c(=O)[nH]c34)c[nH]c2c1,001,CVD-0018146-001,WIL-UNI-d4749f31-4,O=C(Cc1c[nH]c2cc(Cl)ccc12)Nc1cccc2[nH]c(=O)[nH]c12,> 99.5,"","",1.41,2.3
CVD-0018145,"",CC1=CN2C=CC(C(=O)NC3=NC(C4=CN(C)N=C4)=CS3)=CC2=N1,Cc1cn2ccc(C(=O)Nc3nc(-c4cnn(C)c4)cs3)cc2n1,001,CVD-0018145-001,WIL-UNI-d4749f31-3,Cc1cn2ccc(C(=O)Nc3nc(-c4cnn(C)c4)cs3)cc2n1,> 99.5,"","","",""
CVD-0018144,"",O=C(NC1=CC=C2C(=O)C=CNC2=C1)C1=CC=C2C=CN=CC2=C1,O=C(Nc1ccc2c(c1)[nH]ccc2=O)c1ccc2ccncc2c1,001,CVD-0018144-001,WIL-UNI-d4749f31-2,O=C(Nc1ccc2c(O)ccnc2c1)c1ccc2ccncc2c1,> 99.5,"","",0.453,2.3
CVD-0018143,CDD-1163142,CC1=CC=C(NCC2=NN=C3N(C)C(=O)C4=CC=CC=C4N23)C=C1C,Cc1ccc(NCc2nnc3n(C)c(=O)c4ccccc4n23)cc1C,001,CVD-0018143-001,WIL-UNI-d4749f31-1,Cc1ccc(NCc2nnc3n(C)c(=O)c4ccccc4n23)cc1C,> 99.5,"","",-0.315,4
CVD-0018139,"",CC(C)(C#N)CS(=O)(=O)N1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1,CC(C)(CS(=O)(=O)N1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1)C#N,002,CVD-0018139-002,PET-UNK-af70882d-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC(C)(C)C#N)Cc2ccc(Cl)cc21,0.141,0.107,0.187,1.24,1.1
CVD-0018139,"",CC(C)(C#N)CS(=O)(=O)N1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1,CC(C)(CS(=O)(=O)N1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1)C#N,002,CVD-0018139-002,PET-UNK-af70882d-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC(C)(C)C#N)Cc2ccc(Cl)cc21,0.0969,0.0835,0.113,1.00,1.1
CVD-0018139,"",CC(C)(C#N)CS(=O)(=O)N1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1,CC(C)(CS(=O)(=O)N1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1)C#N,002,CVD-0018139-002,PET-UNK-af70882d-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC(C)(C)C#N)Cc2ccc(Cl)cc21,0.0550,0.0519,0.0583,0.930,2.1
CVD-0018065,"",O=C(NC1=CN=C2C=CC=CN12)C1CCNC2=C1C=C(Cl)C(Cl)=C2,Clc1cc2c(cc1Cl)C(C(=O)Nc1cnc3ccccn13)CCN2,001,CVD-0018065-001,MAT-POS-500f4700-2,O=C(Nc1cnc2ccccn12)C1CCNc2cc(Cl)c(Cl)cc21,1.98,1.60,2.45,1.17,1.1
CVD-0018064,"",CC1=CC=NC(NC(=O)C2CCOC3=CC=C(Cl)C=C32)=C1N,Cc1ccnc(NC(=O)C2CCOc3ccc(Cl)cc32)c1N,001,CVD-0018064-001,MAT-POS-500f4700-1,Cc1ccnc(NC(=O)C2CCOc3ccc(Cl)cc32)c1N,71.6,53.8,95.2,1.59,2.3
