SMILES,Title,pIC50,dpIC50,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_STDERR,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_95%CI_LOW,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_95%CI_HIGH
CN(C)S(=O)(=O)c1cccc(C(=O)Nc2c(-c3ccccc3)nc3sccn23)c1,TAT-ENA-80bfd3e5-1,6.010995384301463,0.05747553077287404,-8.207611221007499,0.0784789841191374,-8.364776675370358,-8.050860738893808
Cc1ccncc1NC(=O)C1CCOc2ccc(Cl)cc21,BRU-CON-c4e3408a-1,5.1090204030103115,0.013659288398103264,-6.976024852325967,0.018650842590902803,-7.012976499532134,-6.938373129168523
O=C(Nc1cnccc1CO)C1CCOc2ccc(Cl)cc21,LON-WEI-0a73fcb8-7,4.863279432843593,0.012694572983931618,-6.640482032002206,0.01733358836723245,-6.676161965231812,-6.606827611762883
Cc1cc(Cn2nnc3c(nc(N)nc23)-c2ccco2)ccc1N,inserted_ID_2518,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
O=C(Nc1nncn1C1CC1)C1CCS(=O)(=O)c2ccccc21,NAU-LAT-8502cac5-8,4.161780778092374,0.017174789274969626,-5.682632647307184,0.02345102335959643,-5.730097972957591,-5.636293879519205
O=C(Cc1cccc(Cl)c1)Nc1cncc2ccccc12,ADA-UCB-6c2cb422-1,6.135488918941608,0.014240115596218628,-8.377598796530163,0.019443923191358462,-8.416951270219723,-8.339175577454288
COc1ccc(Cl)cc1N1C(=O)CN(Cc2cc(=O)[nH]c3ccccc23)C1=O,JAG-UCB-c37fbdcd-2,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
O=C1CC(Oc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)N1,ERI-UCB-ce40166b-17,5.958607314841775,0.01961599913345191,-8.13607882424885,0.0267843317630002,-8.186697214676887,-8.079559887624885
O=C(Cc1cncc2ccccc12)Nc1cc(Cl)cc(OC2CCC(=O)N2)c1,ERI-UCB-ce40166b-6,4.4156687756324695,0.036627710662622937,-6.029299687333762,0.050012683393416996,-6.1300498161534325,-5.929999082579765
O=C(Cc1cccc(Cl)c1)Nc1cccc2[nH]ncc12,VLA-UCB-00f2c2b3-7,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
Cc1ccncc1N(CC#N)C(=O)Cc1cccc(Cl)c1,PET-UNK-bbe8d7ff-2,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
CCOC(=O)c1nc(S(C)(=O)=O)ncc1Cl,LON-WEI-ff7b210a-5,5.795880017344075,0.083410341082778,-7.9138856087300935,0.1138912289314008,-8.14149438700187,-7.685929471276268
CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccccc2Cc2ccccc2)n1,LON-WEI-ff7b210a-4,6.267606240177032,0.01366497133907374,-8.557996141551138,0.01865860226581445,-8.59538961617965,-8.520755207116393
Cc1n[nH]cc1CC(=O)Nc1cccc(Cl)c1,MIC-UNK-66895286-3,4.262807357295263,0.018669809965325967,-5.8205776684015555,0.025492373886308414,-5.871583303074958,-5.769613807529725
O=C(Cc1cccc(Cl)c1)Nc1cn[nH]c1,MIC-UNK-66895286-1,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
CN(C)C1=CC=C(C=C1)N(CC1=CSC=C1)C(=O)CN1N=NC2=CC=CC=C12,ALP-POS-d2866bdf-1,5.747146969020107,0.2744414414896601,-7.847343898300185,0.37473138983981613,-8.59538961617965,-7.096464056820386
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C#N)c1,LON-WEI-babf2c61-14,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NCCc1cccc(F)c1)c1cncc(O)c1,LON-WEI-babf2c61-12,4.0,0.0021715447962732393,-5.461731840581876,0.0029650988392638587,-5.4558312943859475,-5.4676916897430035
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,LON-WEI-babf2c61-9,4.696803942579511,0.05350836773051504,-6.413170910539252,0.07306208894282945,-6.559676958446737,-6.267428602675419
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C#N)c1,LON-WEI-babf2c61-7,4.954677021213342,0.01943991472820783,-6.76527931164007,0.02654390031231232,-6.815421842740712,-6.709246241491463
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C)c1,LON-WEI-babf2c61-6,4.614393726401688,0.02003957172848403,-6.300645285117339,0.0273626917452714,-6.354243033568022,-6.244792266586936
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(Cl)c1,LON-WEI-babf2c61-5,4.621602099051862,0.029401069177333428,-6.310487834722897,0.040145188918248094,-6.3900265096031506,-6.229445753930158
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C#N)c1,LON-WEI-babf2c61-3,5.126098402135539,0.0236108826171868,-6.999343715224888,0.03223907734363257,-7.063763582939546,-6.934807273565016
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C)c1,LON-WEI-babf2c61-2,4.935542010773082,0.06125415366709541,-6.73915173769221,0.08363844036286754,-6.905671589238472,-6.571117827787003
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(Cl)c1,LON-WEI-babf2c61-1,4.939302159646388,0.05643813663130581,-6.744285968898876,0.07706249196557834,-6.89894052945494,-6.590690561592626
